MARY,SMITH,ACADEMY DINOSAUR,Action,Loved It!,on,15 Jul 2016
PATRICIA,JOHNSON,ACE GOLDFINGER,Animation,Rubbish!,,15 Aug 2016
LINDA,WILLIAMS,ADAPTATION HOLES,Children,Loved It!,on,15 Sep 2016
BARBARA,JONES,AFFAIR PREJUDICE,Classics,Rubbish!,,15 Oct 2016
ELIZABETH,BROWN,AFRICAN EGG,Comedy,Loved It!,on,15 Nov 2016
JENNIFER,DAVIS,AGENT TRUMAN,Documentary,Rubbish!,,15 Dec 2016
MARIA,MILLER,AIRPLANE SIERRA,Drama,Loved It!,on,15 Jan 2017
SUSAN,WILSON,AIRPORT POLLOCK,Family,Rubbish!,,15 Jul 2016
MARGARET,MOORE,ALABAMA DEVIL,Foreign,Loved It!,on,15 Aug 2016
DOROTHY,TAYLOR,ALADDIN CALENDAR,Games,Rubbish!,,15 Sep 2016
LISA,ANDERSON,ALAMO VIDEOTAPE,Horror,Loved It!,on,15 Oct 2016
NANCY,THOMAS,ALASKA PHANTOM,Music,Rubbish!,,15 Nov 2016
KAREN,JACKSON,ALI FOREVER,New,Loved It!,on,15 Dec 2016
BETTY,WHITE,ALICE FANTASIA,Sci-Fi,Rubbish!,,15 Jan 2017
HELEN,HARRIS,ALIEN CENTER,Sports,Loved It!,on,15 Jul 2016
SANDRA,MARTIN,ALLEY EVOLUTION,Travel,Rubbish!,,15 Aug 2016
DONNA,THOMPSON,ALONE TRIP,Action,Loved It!,on,15 Sep 2016
CAROL,GARCIA,ALTER VICTORY,Animation,Rubbish!,,15 Oct 2016
RUTH,MARTINEZ,AMADEUS HOLY,Children,Loved It!,on,15 Nov 2016
SHARON,ROBINSON,AMELIE HELLFIGHTERS,Classics,Rubbish!,,15 Dec 2016
MICHELLE,CLARK,AMERICAN CIRCUS,Comedy,Loved It!,on,15 Jan 2017
LAURA,RODRIGUEZ,AMISTAD MIDSUMMER,Documentary,Rubbish!,,15 Jul 2016
SARAH,LEWIS,ANACONDA CONFESSIONS,Drama,Loved It!,on,15 Aug 2016
KIMBERLY,LEE,ANALYZE HOOSIERS,Family,Rubbish!,,15 Sep 2016
DEBORAH,WALKER,ANGELS LIFE,Foreign,Loved It!,on,15 Oct 2016
JESSICA,HALL,ANNIE IDENTITY,Games,Rubbish!,,15 Nov 2016
SHIRLEY,ALLEN,ANONYMOUS HUMAN,Horror,Loved It!,on,15 Dec 2016
CYNTHIA,YOUNG,ANTHEM LUKE,Music,Rubbish!,,15 Jan 2017
ANGELA,HERNANDEZ,ANTITRUST TOMATOES,New,Loved It!,on,15 Jul 2016
MELISSA,KING,ANYTHING SAVANNAH,Sci-Fi,Rubbish!,,15 Aug 2016
BRENDA,WRIGHT,APACHE DIVINE,Sports,Loved It!,on,15 Sep 2016
AMY,LOPEZ,APOCALYPSE FLAMINGOS,Travel,Rubbish!,,15 Oct 2016
ANNA,HILL,APOLLO TEEN,Action,Loved It!,on,15 Nov 2016
REBECCA,SCOTT,ARABIA DOGMA,Animation,Rubbish!,,15 Dec 2016
VIRGINIA,GREEN,ARACHNOPHOBIA ROLLERCOASTER,Children,Loved It!,on,15 Jan 2017
KATHLEEN,ADAMS,ARGONAUTS TOWN,Classics,Rubbish!,,15 Jul 2016
PAMELA,BAKER,ARIZONA BANG,Comedy,Loved It!,on,15 Aug 2016
MARTHA,GONZALEZ,ARK RIDGEMONT,Documentary,Rubbish!,,15 Sep 2016
DEBRA,NELSON,ARMAGEDDON LOST,Drama,Loved It!,on,15 Oct 2016
AMANDA,CARTER,ARMY FLINTSTONES,Family,Rubbish!,,15 Nov 2016
STEPHANIE,MITCHELL,ARSENIC INDEPENDENCE,Foreign,Loved It!,on,15 Dec 2016
CAROLYN,PEREZ,ARTIST COLDBLOODED,Games,Rubbish!,,15 Jan 2017
CHRISTINE,ROBERTS,ATLANTIS CAUSE,Horror,Loved It!,on,15 Jul 2016
MARIE,TURNER,ATTACKS HATE,Music,Rubbish!,,15 Aug 2016
JANET,PHILLIPS,ATTRACTION NEWTON,New,Loved It!,on,15 Sep 2016
